start,end,label,School,Known Writings,,,760 BC,,Iliad
800 BC,701 BC,Homer,Mystic,"Iliad, Odyssey ",,,740 BC,,Odyssey
750 BC,650 BC,Hesiod,Mystic,"Theogony, Works and Days",,,700 BC,,Theogony
624 BC,546 BC,Thales,Ionian,Writings Unknown,,,1781,,Critique of Pure Reason
610 BC,546 BC,Anaximander,Ionian,"On Nature, Rotation of the Earth",,,1818,,The World as Will and Representation
585 BC,525 BC,Anaximenes,Ionian,"Doctrine of Air, Doctrine of Change",,,1739,,A Treatise of Human Nature
582 BC,496 BC,Pythagoras,Mystic,The Golden Verses,,,1748,,An Enquiry Concerning Human Understanding
570 BC,470 BC,Xenophanes,Eleatic,Fragments,,,1807,,The Phenomenology of Spirit
510 BC,440 BC,Parmenides,Eleatic,On Nature (frag),,,1532,,The Prince
535 BC,475 BC,Heraclitus,Ionian,Fragments,,,380 BC,,The Republic
490 BC,430 BC,Empedocles,Pluralist,Fragments,,,1651,,Leviathan
500 BC,428 BC,Anaxagoras,Pluralist,,,,1710,,A Treatise Concerning the Principles of Human Knowledge
480 BC,420 BC,Leucippus,Atomist,,,,1637,,Discourse on the Method
460 BC,370 BC,Democritus,Atomist,,,,1883,,Thus Spoke Zarathustra
490 BC,420 BC,Protagoras,Sophist,,,,,,
487 BC,376 BC,Gorgias,Sophist,,,,,,
371 BC,287 BC,Theophrastus,Peripatetic,,,,,,
469 BC,399 BC,Socrates,Skeptic,See: Plato,,,,,
450 BC,380 BC,Euclid of Megara,Megarian,,,,,,
445 BC,360 BC,Antisthenes,Cynic,,,,,,
435 BC,356 BC,Aristippus,Cyrenaics,,,,,,
428 BC,347 BC,Plato,Platonic,"The Apology, Phaedo, The Republic, The Dialogues",,,,,
405 BC,320 BC,Diogenes of Sinope ,Cynic,,,,,,
396 BC,314 BC,Xenocrates,Platonic,,,,,,
384 BC,322 BC,Aristotle,Peripatetic,"Metaphysics, Nicomachean Ethics, History of Animals",,,,,
341 BC,270 BC,Epicurus,Epicurean ,"Letter to Menoeceus, Principal Doctrines, www.epicurus.net",,,,,
287 BC,212 BC,Archimedes,Empiricist,,,,,,
280 BC,207 BC,Chrysippus,Stoic,,,,,,
360 BC,280 BC,Stilpo,Megarian,,,,,,
334 BC,262 BC,Zeno of Citium,Stoic,"Republic, General Things, ",,,,,
187 BC,109 BC,Clitomachus,Stoic,,,,,,
106 BC,43 BC,Cicero,Stoic,,,,,,
94 BC,55 BC,Lucretius,Epicurean ,,,,,,
4 BC,65,Seneca,Stoic,,,,,,
30,100,Musonius Rufus,Stoic,,,,,,
45,120,Plutarch,Platonic,,,,,,
55,135,Epictetus,Stoic,,,,,,
70,156,Polycarp,Christian,,,,,,
121,180,Marcus Aurelius,Stoic,Meditations,,,,,
150,215,Clement of Alexandria,Christian,,,,,,
160,210,Sextus Empiricus,Skeptic,,,,,,
205,270,Plotinus,Neo-Platonist,,,,,,
232,304,Porphyry,Neo-Platonist,,,,,,
270,351,Nicolaus of Myra,Christian,,,,,,
295,373,Athanasius,Christian,,,,,,
315,367,Hilarius of Poitiers,Christian,,,,,,
317,388,Themistius,Platonic,,,,,,
329,390,Gregorius of Nazianz,Christian,,,,,,
330,379,Basilius,Christian,,,,,,
335,394,Gregorius of Nyssa,Christian,,,,,,
339,397,Ambrosius,Christian,,,,,,
340,420,Hieronymus,Christian,,,,,,
354,407,Chrisostomos,Christian,,,,,,
381,444,Cyrill,Christian,,,,,,
411,485,Proclus,Neo-Platonist,,,,,,
462,540,Damascius,Neo-Platonist,,,,,,
472,524,Boethius,Neo-Platonist,,,,,,
1033,1109,Anselm of Canterbury,Scholastic,,,,,,
1091,1153,Bernhard of Clairvaux,Christian,,,,,,
1135,1204,Maimonides,Jewish,,,,,,
1221,1274,Bonaventura,Christian,,,,,,
1225,1274,Thomas of Aquin,Christian,,,,,,
1235,1315,Rymundus Lullus,Catholic,,,,,,
1193,1280,Albertus Magnus,Catholic,,,,,,
1265,1321,Dante,Poet,,,,,,
1266,1308,Duns Scotus,Realist,,,,,,
1287,1347,Occam,Nominalism,,,,,,
1396,1484,Trapezuntius,Humanist,,,,,,
1401,1464,Cusanus,Humanist,,,,,,
1443,1485,Agricola,Humanist,,,,,,
1452,1498,Savonarola,Catholic,,,,,,
1467,1536,Erasmus,Humanist,,,,,,
1469,1527,Machiavelli,Humanist,,,,,,
1478,1535,More,Humanist,,,,,,
1473,1543,Copernicus,Empiricist,,,,,,
1483,1546,Luther,Reformer,,,,,,
1484,1531,Zwingli,Humanist,,,,,,
1486,1535,Agrippa,Skeptic,,,,,,
1493,1541,Paracelsus,Empiricist,,,,,,
1497,1560,Melanchton,Reformer,,,,,,
1509,1564,Calvin,Protestant,,,,,,
1540,1609,Scaliger,Scholastic,,,,,,
1546,1601,Brahe,Empiricist,,,,,,
1560,1626,Bacon,Empiricist,Atomist?,,,,,
1564,1642,Galilei,Empiricist,,,,,,
1588,1679,Hobbes,Determinist,,,,,,
1596,1659,Descartes,Rationalist,,,,,,
1623,1662,Pascal,Jansenist,,,,,,
1632,1677,Spinoza,Rationalist,,,,,,
1632,1704,Locke,Empiricist,,,,,,
1646,1716,Leibniz,Rationalist,,,,,,
1685,1735,Berkeley,Idealist,,,,,,
1711,1776,Hume,Empiricist,,,,,,
1724,1804,Kant,Idealist,,,,,,
1743,1819,Jacobi,Idealist,,,,,,
1748,1832,Bentham,Utilitarianism,,,,,,
1770,1831,Hegel,Idealist,,,,,,
1775,1854,Schelling,Idealist,,,,,,
1762,1814,Fichte,Idealist,,,,,,
1788,1860,Schopenhauer,Idealist,,,,,,
1806,1873,Mill,Empiricist,,,,,,
1818,1883,Marx,Marxist,,,,,,
1833,1911,Dilthey,Empiricist,,,,,,
1844,1900,Nietzsche,Existentialist,,,,,,
1848,1925,Frege,Analytic,,,,,,
1859,1952,Dewey,Pragmatism,,,,,,
1859,1941,Bergson,Continental,,,,,,
1872,1970,Russell,Analytic,,,,,,
1873,1958,Moore,Analytic,,,,,,
1874,1928,Scheler,Phenomenologist,,,,,,
1882,1936,Schlick,Posivist,,,,,,
1885,1977,Bloch,Marxist,,,,,,
1889,1951,Wittgenstein,Analytic,,,,,,
1890,1963,Ajdukiewicz,Logician,,,,,,
1900,1976,Ryle,Analytic,,,,,,
1902,1995,Bochenski,Logician,,,,,,
1902,1994,Popper,Rationalist,,,,,,
1903,1993,Jonas,Existentialist,,,,,,
1903,1969,Adorno,Marxist,,,,,,
1908,2000,Quine,Analytic,,,,,,
1910,1989,Ayer,Analytic,,,,,,
1911,1960,Austin,Analytic,,,,,,
1921,2002,Rawls,Analytic,,,,,,
1923,1991,Stegmuller,Analytic,,,,,,
1931-10-04,2007-06-08,Rorty,Pragmatism,,,,,,
